43
# x y z
390	989.2093	0
420	980.4871	0
400	987.414	0
410	982.292	0
380	994.4391	0
370	995.7553	0
360	994.451	0
350	996.5297	0
340	998	0
330	1000.4421	0
320	1003.1944	0
310	1007.9966	0
300	1012.1914	0
290	1016.0897	0
280	1021.3199	0
270	1023	0
260	1022.7144	0
250	1023.9769	0
240	1023	0
230	1019.8127	0
220	1018.0792	0
210	1017.6209	0
200	1014	0
190	1008.9312	0
180	1006.0978	0
170	1004	0
160	1002.5736	0
150	1000.07	0
140	999.0836	0
130	997.9098	0
120	995.0459	0
110	994.3781	0
100	993.4465	0
90	991.2596	0
80	991.5651	0
70	991.5154	0
60	990.3394	0
50	989.6807	0
40	991	0
30	991.2821	0
20	988.0058	0
10	985.4299	0
0	979.5214	0
287
# a b m n rhoa k err ip iperr response residual
1	2	3	4	7.68200000000000e+01	1.22794825845005e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	7.71217953931359e+01	-1.30696920873300e-01
5	4	1	3	8.61800000000000e+01	1.51056983745086e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	9.11172418683727e+01	-1.85696390899368e+00
6	3	5	1	5.87200000000000e+01	1.22148945063096e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	6.16202593156016e+01	-1.60701057186439e+00
7	1	6	5	6.92800000000000e+01	1.39233352640493e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	6.54818121926410e+01	1.87946122068151e+00
8	5	7	6	5.38600000000000e+01	1.29430818532193e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	5.28571832701850e+01	6.26482207657375e-01
9	6	8	7	3.84400000000000e+01	1.27057527055971e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	3.87080475629617e+01	-2.31631389298019e-01
10	7	9	8	2.95600000000000e+01	1.29883024260908e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	3.08575882438388e+01	-1.43201987575978e+00
11	8	10	9	2.96900000000000e+01	1.28376455637631e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	2.95004120706607e+01	2.13535234349290e-01
12	9	11	10	3.05800000000000e+01	1.36411694311053e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	3.39017646758934e+01	-3.43736226222481e+00
13	10	12	11	3.84500000000000e+01	1.30549949962852e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	3.79721407688284e+01	4.16864758817252e-01
