GEOPEN
10
1
287
1
0
405,10,76.82
395,10,86.18
385,10,58.72
375,10,69.28
365,10,53.86
355,10,38.44
345,10,29.56
335,10,29.69
325,10,30.58
315,10,38.45
305,10,61.67
295,10,84.88
285,10,75.59
275,10,112.44
265,10,102.75
255,10,122.2
245,10,107.07
235,10,91.94
225,10,78.54
215,10,65.15
205,10,34.84
195,10,45.49
185,10,56.14
175,10,38.98
165,10,35.24
155,10,48.63
145,10,40.53
135,10,49.72
125,10,40.12
115,10,30.53
105,10,37.63
95,10,31.53
85,10,31.88
75,10,29.24
65,10,37.06
55,10,45.29
45,10,53.53
35,10,45.06
25,10,80.93
15,10,116.81
390,20,84.07
380,20,67.33
370,20,50.59
360,20,63.13
350,20,43.75
340,20,41.01
330,20,53.44
320,20,45.67
310,20,58.17
300,20,70.68
290,20,72.33
280,20,51.43
270,20,77.33
260,20,103.23
250,20,78.14
240,20,53.04
230,20,64.46
220,20,75.87
210,20,43.18
200,20,42.59
190,20,42.01
180,20,46.32
170,20,44.16
160,20,42.82
150,20,55.08
140,20,54.75
130,20,47.43
120,20,60.23
110,20,49.6
100,20,49.14
90,20,52.5
80,20,46.27
70,20,48.33
60,20,57.44
50,20,72.7
40,20,80.89
30,20,85.58
375,30,62.74
365,30,52.49
355,30,63.15
345,30,53.2
335,30,59.51
325,30,52.71
315,30,65.07
305,30,60.88
295,30,60.78
285,30,48.05
275,30,50.2
265,30,51.24
255,30,57.31
245,30,48.8
235,30,52.68
225,30,44.65
215,30,58
205,30,49.86
195,30,62.25
185,30,50.11
175,30,57.08
165,30,39.66
155,30,54.98
145,30,47.93
135,30,65.53
125,30,57.34
115,30,67.65
105,30,63.93
95,30,67.55
85,30,59.52
75,30,68.4
65,30,72.69
55,30,87.3
45,30,94.2
360,40,65.73
350,40,60.78
340,40,72.97
330,40,83.06
320,40,64.26
310,40,72.03
300,40,55.29
290,40,45.3
280,40,50.68
270,40,45.28
260,40,45.84
250,40,45.77
240,40,47.88
230,40,47.11
220,40,56.95
210,40,47.79
200,40,60.37
190,40,67.18
180,40,63.76
170,40,49.64
160,40,59.61
150,40,56.54
140,40,64.02
130,40,70.06
120,40,68.18
110,40,76.79
100,40,72.87
90,40,71.96
80,40,81.3
70,40,86.38
60,40,96.62
345,50,87.07
335,50,77.69
325,50,79.46
315,50,91.62
305,50,69.12
295,50,46.61
285,50,54.55
275,50,46.03
265,50,41.3
255,50,39.07
245,50,50.85
235,50,50.65
225,50,55.42
215,50,55.54
205,50,73.17
195,50,61.14
185,50,66.64
175,50,51.3
165,50,73.32
155,50,65.54
145,50,77.56
135,50,72.76
125,50,75.13
115,50,69.11
105,50,82.17
95,50,78.62
85,50,89.21
75,50,89.94
330,60,92.54
320,60,92.12
310,60,87.38
300,60,80.35
290,60,70.59
280,60,60.66
270,60,49.05
260,60,43.78
250,60,43.07
240,60,50.95
230,60,49.15
220,60,59.98
210,60,67.53
200,60,67.17
190,60,76.44
180,60,57.16
170,60,77.74
160,60,74.87
150,60,80.98
140,60,81.61
130,60,75.56
120,60,88.85
110,60,82.99
100,60,87.18
90,60,90.46
315,70,73.31
305,70,56.15
295,70,81.49
285,70,70.86
275,70,63.43
265,70,63
255,70,57.43
245,70,43.18
235,70,56.81
225,70,49.88
215,70,63.96
205,70,62.49
195,70,72.93
185,70,61.17
175,70,89.81
165,70,78.16
155,70,83.68
145,70,84.04
135,70,86.72
125,70,86.7
115,70,97.95
105,70,87.41
300,80,106.16
290,80,87.19
280,80,69.28
270,80,77.83
260,80,78.31
250,80,71.26
240,80,54.11
230,80,62.24
220,80,46.75
210,80,66.81
200,80,98.5
190,80,74.64
180,80,81.45
170,80,77
160,80,93.26
150,80,84.13
140,80,94.72
130,80,98.84
120,80,139.02
285,90,96.78
275,90,79.81
265,90,62.83
255,90,60.3
245,90,50.76
235,90,48.54
225,90,62.76
215,90,64.91
205,90,74.25
195,90,67.69
185,90,89.74
175,90,83.76
165,90,96.45
155,90,100.27
145,90,103.64
135,90,97.12
270,100,62.82
260,100,56.84
250,100,50.87
240,100,45.12
230,100,49.08
220,100,63.58
210,100,78.08
200,100,78.41
190,100,89.51
180,100,94.2
170,100,98.67
160,100,113.79
150,100,75.99
255,110,104.67
245,110,86.67
235,110,68.68
225,110,69.5
215,110,75.48
205,110,80.59
195,110,93.49
185,110,96.58
175,110,105.84
165,110,108.72
240,120,105.46
230,120,81.75
220,120,108.49
210,120,83.99
200,120,90.89
190,120,96.85
180,120,101.88
225,130,86.69
215,130,71.5
205,130,95.52
195,130,97.69
210,140,125.59
2
43
0,979.5214
10,985.4299
20,988.0058
30,991.2821
40,991
50,989.6807
60,990.3394
70,991.5154
80,991.5651
90,991.2596
100,993.4465
110,994.3781
120,995.0459
130,997.9098
140,999.0836
150,1000.07
160,1002.5736
170,1004
180,1006.0978
190,1008.9312
200,1014
210,1017.6209
220,1018.0792
230,1019.8127
240,1023
250,1023.9769
260,1022.7144
270,1023
280,1021.3199
290,1016.0897
300,1012.1914
310,1007.9966
320,1003.1944
330,1000.4421
340,998
350,996.5297
360,994.451
370,995.7553
380,994.4391
390,989.2093
400,987.414
410,982.292
420,980.4871
0
0
0
0
