index,array_name,data_type,ax,az,bx,bz,mx,mz,nx,nz,apparent_resistivity_ohm_m,resistance_ohm,geometric_factor_m,dobs,standard_deviation
35,wenner,apparent_resistivity,50.0,0.0,80.0,0.0,60.0,0.0,70.0,0.0,37.06,0.5898282190985642,62.83185307179586,37.06,1.8530000000000002
36,wenner,apparent_resistivity,40.0,0.0,70.0,0.0,50.0,0.0,60.0,0.0,45.29,0.720812737263194,62.83185307179586,45.29,2.2645
37,wenner,apparent_resistivity,30.0,0.0,60.0,0.0,40.0,0.0,50.0,0.0,53.53,0.8519564103709157,62.83185307179586,53.53,2.6765000000000003
38,wenner,apparent_resistivity,20.0,0.0,50.0,0.0,30.0,0.0,40.0,0.0,45.06,0.7171521735720805,62.83185307179586,45.06,2.253
39,wenner,apparent_resistivity,10.0,0.0,40.0,0.0,20.0,0.0,30.0,0.0,80.93,1.2880409544427092,62.83185307179586,80.93,4.046500000000001
40,wenner,apparent_resistivity,0.0,0.0,30.0,0.0,10.0,0.0,20.0,0.0,116.81,1.8590888902564295,62.83185307179586,116.81,5.8405000000000005
41,wenner,apparent_resistivity,360.0,0.0,420.0,0.0,380.0,0.0,400.0,0.0,84.07,0.669007803286782,125.66370614359172,84.07,4.2035
42,wenner,apparent_resistivity,350.0,0.0,410.0,0.0,370.0,0.0,390.0,0.0,67.33,0.5357951159188656,125.66370614359172,67.33,3.3665000000000003
43,wenner,apparent_resistivity,340.0,0.0,400.0,0.0,360.0,0.0,380.0,0.0,50.59,0.4025824285509493,125.66370614359172,50.59,2.5295000000000005
44,wenner,apparent_resistivity,330.0,0.0,390.0,0.0,350.0,0.0,370.0,0.0,63.13,0.5023725778695677,125.66370614359172,63.13,3.1565000000000003
45,wenner,apparent_resistivity,320.0,0.0,380.0,0.0,340.0,0.0,360.0,0.0,43.75,0.34815143801352105,125.66370614359172,43.75,2.1875
46,wenner,apparent_resistivity,310.0,0.0,370.0,0.0,330.0,0.0,350.0,0.0,41.01,0.3263472108099314,125.66370614359172,41.01,2.0505
47,wenner,apparent_resistivity,300.0,0.0,360.0,0.0,320.0,0.0,340.0,0.0,53.44,0.42526200794154434,125.66370614359172,53.44,2.672
48,wenner,apparent_resistivity,290.0,0.0,350.0,0.0,310.0,0.0,330.0,0.0,45.67,0.363430312550343,125.66370614359172,45.67,2.2835
49,wenner,apparent_resistivity,280.0,0.0,340.0,0.0,300.0,0.0,320.0,0.0,58.17,0.4629021519827776,125.66370614359172,58.17,2.9085
